iata_code,name,type,iso_country,municipality,latitude,longitude
UTK,Utirik Airport,small_airport,MH,Utirik Island,11.222, 169.852005
OCA,Ocean Reef Club Airport,small_airport,US,Key Largo,25.325399398804, -80.274803161621
PQS,Pilot Station Airport,small_airport,US,Pilot Station,61.934601, -162.899994
CSE,Crested Butte Airpark,small_airport,US,Crested Butte,38.851918, -106.928341
JCY,LBJ Ranch Airport,small_airport,US,Stonewall,30.251801, -98.622498
WLR,Loring Seaplane Base,seaplane_base,US,Loring,55.601299, -131.636993
NUP,Nunapitchuk Airport,small_airport,US,Nunapitchuk,60.905591, -162.440454
PTC,Port Alice Seaplane Base,seaplane_base,US,Port Alice,55.803, -133.597
ICY,Icy Bay Airport,small_airport,US,Icy Bay,59.966269, -141.660118
PPV,Port Protection Seaplane Base,seaplane_base,US,Port Protection,56.328800201416, -133.61000061035
KKK,Kalakaket Creek AS Airport,small_airport,US,Kalakaket Creek,64.4166256967, -156.820392609
MHS,Dunsmuir Muni-Mott Airport,small_airport,US,Dunsmuir,41.263199, -122.272003
NIR,Chase Field Industrial Airport,small_airport,US,Beeville,28.362444, -97.661917
GCT,Grand Canyon Bar Ten Airstrip,small_airport,US,Littlefield,36.258614, -113.231159
ELW,Ellamar Seaplane Base,seaplane_base,US,Ellamar,60.893818, -146.704038
LVD,Lime Village Airport,small_airport,US,Lime Village,61.3591003418, -155.440002441
HGZ,Hog River Airport,small_airport,US,Hogatza,66.2161026, -155.6690063
OTN,Ed-Air Airport,small_airport,US,Oaktown,38.851782, -87.49987
TLF,Telida Airport,small_airport,US,Telida,63.393901824951, -153.26899719238
BZT,Eagle Air Park,small_airport,US,Brazoria,28.982200622559, -95.579696655273
HBH,Entrance Island Seaplane Base,seaplane_base,US,Entrance Island,57.412201, -133.43848
FAK,False Island Seaplane Base,seaplane_base,US,False Island,57.5321998596, -135.212997437
BYW,Blakely Island Airport,small_airport,US,Blakely Island,48.578998565700005, -122.825996399
DRF,Drift River Airport,small_airport,US,Kenai,60.588901519800004, -152.162002563
BDF,Rinkenberger Restricted Landing Area,small_airport,US,Bradford,41.230899810800004, -89.61569976810001
VRS,Roy Otten Memorial Airfield,small_airport,US,Versailles,38.427799224854, -92.875198364258
GDH,Golden Horn Lodge Seaplane Base,seaplane_base,US,Golden Horn Lodge,59.7470016479, -158.875
ATT,Atmautluak Airport,small_airport,US,Atmautluak,60.866699, -162.272996
LIV,Livengood Camp Airport,small_airport,US,Livengood,65.467, -148.6534
PDB,Pedro Bay Airport,small_airport,US,Pedro Bay,59.7896003723, -154.12399292
KOZ,Ouzinkie Airport,small_airport,US,Ouzinkie,57.942094, -152.464314
TNK,Tununak Airport,small_airport,US,Tununak,60.575500488281, -165.27200317383
WHD,Hyder Seaplane Base,seaplane_base,US,Hyder,55.903324, -130.009975
MNT,Minto Al Wright Airport,small_airport,US,Minto,65.1437, -149.369995
TKI,Tokeen Seaplane Base,seaplane_base,US,Tokeen,55.9370994568, -133.32699585
WKK,Aleknagik / New Airport,medium_airport,US,Aleknagik,59.2826004028, -158.617996216
WFB,Ketchikan Harbor Seaplane Base,seaplane_base,US,Ketchikan,55.349899, -131.677002
NNK,Naknek Airport,small_airport,US,Naknek,58.735633, -157.02216
BKF,Lake Brooks Seaplane Base,seaplane_base,US,Katmai National Park,58.554798126221, -155.77699279785
BCS,Southern Seaplane Airport,small_airport,US,Belle Chasse,29.866078, -90.021608
SPQ,Catalina Air-Sea Terminal Heliport,heliport,US,San Pedro,33.7491989136, -118.275001526
TSS,East 34th Street Heliport,heliport,US,New York,40.74259948730469, -73.97209930419922
NYS,New York Skyports Inc Seaplane Base,seaplane_base,US,New York,40.735061, -73.972814
BWL,Earl Henry Airport,small_airport,US,Blackwell,36.7958984375, -97.3170013428
WYB,Yes Bay Lodge Seaplane Base,seaplane_base,US,Yes Bay,55.9163017273, -131.800994873
CWS,Center Island Airport,small_airport,US,Center Island,48.4901008606, -122.832000732
TEK,Tatitlek Airport,small_airport,US,Tatitlek,60.871449, -146.690297
DUF,Pine Island Airport,small_airport,US,Corolla,36.2535018921, -75.7884979248
SSW,Stuart Island Airpark,small_airport,US,Friday Harbor,48.673379, -123.175439
FOB,Fort Bragg Airport,small_airport,US,Fort Bragg,39.472445, -123.795319
PUL,Port of Poulsbo Marina Moorage Seaplane Base,seaplane_base,US,Poulsbo,47.734001159668, -122.64700317383
CCD,Century City Heliport,heliport,US,Los Angeles,34.060798645, -118.417999268
WMK,Meyers Chuck Seaplane Base,seaplane_base,US,Meyers Chuck,55.7396011353, -132.255004883
AXB,Maxson Airfield,small_airport,US,Alexandria Bay,44.312002, -75.90034
REE,Reese Airpark,small_airport,US,Lubbock,33.590301513672, -102.03700256348
WDN,Waldron Airstrip,small_airport,US,Eastsound,48.7118, -123.017998
WWP,Whale Pass Seaplane Float Harbor Facility,seaplane_base,US,Whale Pass,56.116299, -133.121994
CHU,Chuathbaluk Airport,small_airport,US,Chuathbaluk,61.579102, -159.216003
UGS,Ugashik Airport,small_airport,US,Ugashik,57.523476, -157.396344
PSQ,Philadelphia Seaplane Base,seaplane_base,US,Essington,39.859001159668, -75.299598693848
KLL,Levelock Airport,small_airport,US,Levelock,59.12606, -156.860906
SGW,Saginaw Seaplane Base,seaplane_base,US,Saginaw Bay,56.8862991333, -134.158004761
WTL,Tuntutuliak Airport,small_airport,US,Tuntutuliak,60.3353004456, -162.667007446
TWA,Twin Hills Airport,small_airport,US,Twin Hills,59.07559967041, -160.27299499512
KCQ,Chignik Lake Airport,small_airport,US,Chignik Lake,56.2550010681, -158.774993896
AAD,Adado Airport,small_airport,SO,Adado,6.095802, 46.6375
ABP,Atkamba Airport,small_airport,PG,Atkamba Mission,-6.06462, 141.095173
AFC,Angeles City Flying Club,small_airport,PH,MG,15.254326, 120.677772
ACM,Arica Airport,small_airport,CO,Arica,-2.144851, -71.758389
ADC,Andakombe Airport,small_airport,PG,Andekombe,-7.13722222222, 145.744722222
ADV,El Daein Airport,small_airport,SD,El Daein,11.4023, 26.1186
DJH,Jebel Ali Seaplane Base,seaplane_base,AE,Jebel Ali,24.988967, 55.023796
AEE,Adareil Airport,small_airport,SS,Adar,10.053611, 32.959444
AEI,Algeciras Heliport,heliport,ES,Algeciras,36.12882, -5.441079
AEK,Aseki Airport,small_airport,PG,Aseki,-7.350805, 146.193994
AEQ,Ar Horqin Airport,small_airport,CN,Chifeng,43.87042, 120.15958
KHT,Khost International Airport,medium_airport,AF,Khost,33.284605, 69.80734
URZ,Orūzgān Airport,small_airport,AF,Orūzgān,32.9029998779, 66.630897522
OLR,Salerno Airport,small_airport,AF,Khost,33.3638, 69.9561
AFK,Kondavattavana Tank Seaplane Base,seaplane_base,LK,Ampara,7.284, 81.644
AFR,Afore Airstrip,small_airport,PG,,-9.142222222220001, 148.390833333
AFT,Afutara Aerodrome,small_airport,SB,Bila,-9.19138888889, 160.948611111
RNA,Ulawa Airport,small_airport,SB,Arona,-9.86054358262, 161.979546547
ATD,Uru Harbour Airport,small_airport,SB,Atoifi,-8.87333, 161.011002
VEV,Barakoma Airport,small_airport,SB,Barakoma,-7.912779808044434, 156.70599365234375
GEF,Geva Airport,small_airport,SB,Liangia,-7.575829982757568, 156.5970001220703
AGG,Angoram Airport,small_airport,PG,Angoram,-4.05583333333, 144.073888889
AKS,Gwaunaru'u Airport,small_airport,SB,Auki,-8.70257, 160.682007
BNY,Bellona/Anua Airport,small_airport,SB,Anua,-11.302222222200001, 159.798333333
CHY,Choiseul Bay Airport,small_airport,SB,,-6.711944, 156.396111
BAS,Ballalae Airport,small_airport,SB,Ballalae,-6.990745, 155.886656
FRE,Fera/Maringe Airport,small_airport,SB,Fera Island,-8.1075, 159.576996
HIR,Honiara International Airport,large_airport,SB,Honiara,-9.428, 160.054993
MBU,Babanakira Airport,small_airport,SB,Mbambanakira,-9.7475004196167, 159.83900451660156
AVU,Avu Avu Airport,small_airport,SB,,-9.86833333333, 160.410555556
IRA,Ngorangora Airport,small_airport,SB,Kirakira,-10.449700355500001, 161.897994995
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,small_airport,SB,Santa Cruz/Graciosa Bay/Luova,-10.72029972076416, 165.7949981689453
MUA,Munda Airport,medium_airport,SB,Munda,-8.32797, 157.263
GZO,Nusatupe Airport,small_airport,SB,Gizo,-8.09778022766, 156.863998413
MNY,Mono Airport,small_airport,SB,Stirling Island,-7.416940212249756, 155.56500244140625
PRS,Parasi Airport,small_airport,SB,Parasi,-9.641670227050781, 161.4250030517578
RNL,Rennell/Tingoa Airport,small_airport,SB,Rennell Island,-11.533900260925293, 160.06300354003906
EGM,Sege Airport,small_airport,SB,Sege,-8.578889846801758, 157.87600708007812
NNB,Santa Ana Airport,small_airport,SB,Santa Ana Island,-10.847994, 162.454108
RUS,Marau Airport,small_airport,SB,Marau,-9.861669540409999, 160.824996948
VAO,Suavanao Airport,small_airport,SB,Suavanao,-7.585559844970703, 158.7310028076172
XYA,Yandina Airport,small_airport,SB,Yandina,-9.092816, 159.21841
AGK,Kagua Airport,small_airport,PG,Kagua,-6.396388888890001, 143.853611111
KGE,Kaghau Airport,small_airport,SB,Kagau Island,-7.3305, 157.585
KUE,Kukudu Airport,small_airport,SB,Kolombangara Island,-8.0262, 156.94783
KWS,Kwailabesi Airport,small_airport,SB,Kwailabesi,-8.360508, 160.775127
AGL,Wanigela Airport,small_airport,PG,,-9.3375, 149.155555556
NAZ,Nana Airport,small_airport,SB,Star Harbor,-10.6758, 162.2049
MHM,Manaoba Airport,small_airport,SB,Manaoba,-8.325008, 160.80051
GTA,Gatokae Aerodrome,small_airport,SB,Gatokae,-8.738358, 158.202836
RIN,Ringi Cove Airport,small_airport,SB,Ringi Cove,-8.12639045715332, 157.14300537109375
RBV,Ramata Airport,small_airport,SB,Ramata,-8.168060302734375, 157.64300537109375
TLG,Tulaghi Heliport,heliport,SB,Tulaghi Island,-9.108, 160.149166667
AGY,Argyle Downs Airport,small_airport,AU,Argyle Downs,-16.508604, 128.922485
AHJ,Hongyuan Airport,medium_airport,CN,Ngawa (Hongyuan),32.53154, 102.35224
AHY,Ambatolhy Airport,small_airport,MG,Ambatolahy,-20.015833333299998, 45.535
AIE,Aiome Airport,small_airport,PG,Aiome,-5.145699978, 144.7307003
AIH,Aiambak Airport,small_airport,PG,Aiambak,-7.342777777779999, 141.2675
AIC,Ailinglaplap Airok Airport,small_airport,MH,Bigatyelang Island,7.279422, 168.8257
CEX,Chena Hot Springs Airport,small_airport,US,Chena Hot Springs,65.0518035889, -146.04699707
SOL,Solomon State Field,small_airport,US,Solomon,64.5605, -164.4457
HED,Herendeen Bay Airport,small_airport,US,Herendeen Bay,55.801399231, -160.899002075
TWE,Taylor Airport,small_airport,US,Taylor,65.6792984009, -164.798995972
KTH,Tikchik Lodge Seaplane Base,seaplane_base,US,Tikchik,59.9631996155, -158.477005005
NKI,Naukati Bay Seaplane Base,seaplane_base,US,Tuxekan Island,55.849602, -133.227994
LNI,Point Lonely Short Range Radar Site Airfield,small_airport,US,Point Lonely,70.911118, -153.237766
CDL,Candle 2 Airport,small_airport,US,Candle,65.907699585, -161.925994873
AOS,Amook Bay Seaplane Base,seaplane_base,US,Amook Bay,57.4715003967, -153.815002441
BSW,Boswell Bay Airport,small_airport,US,Boswell Bay,60.4230995178, -146.145996094
AKM,Zakuoma Airport,small_airport,TD,ZaKouma,10.8902777778, 19.8172222222
ALZ,Alitak Seaplane Base,seaplane_base,US,Lazy Bay,56.8995018005, -154.248001099
PPE,Mar de Cortés International Airport,small_airport,MX,Puerto Peñasco,31.351987, -113.305177
AME,Alto Molocue Airport,small_airport,MZ,Alto Molocue,-15.6102777778, 37.6813888889
AMF,Ama Airport,small_airport,PG,,-4.10111111111, 141.67
AMU,Amanab Airport,small_airport,PG,Amanab,-3.586, 141.214333333
AMY,Ambatomainty Airport,small_airport,MG,,-17.686667, 45.623889
INU,Nauru International Airport,medium_airport,NR,Yaren District,-0.547458, 166.919006
ANZ,Angus Downs Airport,small_airport,AU,Angus Downs Station,-25.0325, 132.2748
CTV,Catoca Airport,small_airport,AO,Saurimo,-9.430985, 20.311478
ANL,Andulo Airport,small_airport,AO,Andulo,-11.4723, 16.710899
CNZ,Cangamba Airport,small_airport,AO,Cangamba,-13.7106, 19.861099
DRC,Dirico Airport,small_airport,AO,Dirico,-17.981924057006836, 20.7680606842041
