extension,description,used_by
A,Archive file,ar (Unix)
AAC,Advanced Audio Coding file,"iOS, Nintendo DSi, Nintendo 3DS, YouTube Music"
ACCDB,Microsoft Access Database,Microsoft Access Database (Open XML)
ACCFT,Microsoft Access Data Type Template,Microsoft Access
ADT,"Abrechnungsdatentransfer, an xDT application",Healthcare providers in Germany
ADX,Document,Archetype Designer
ADZ,Amiga Disk Zipped (See Amiga Disk File),GZip
AGDA,Agda (programming language) source file,Agda typechecker/compiler
AGR,ArcView ASCII grid,
AHK,AutoHotkey script file,AutoHotkey
AI,Adobe Illustrator Artwork,Adobe Illustrator
AIFF,Audio Interchange File Format,
AIFC,Compressed Audio Interchange File Format,
AIO,APL programming language file transfer format file,
AMF,Additive Manufacturing File Format,Computer Aided Design Software
AMG,System image file,ACTOR
AML,AutomationML,AutomationML Group
AMLX,Compressed and packed AutomationML file,AutomationML Group
AMPL,AMPL source code file,AMPL
AMR,Adaptive Multi-Rate audio,
AMV,Actions Media Video,
ANI,Animation cursors for Win,Win95 - WinNT
ANN,Annotations of old Windows Help file,Windows 3.0 - XP
APE,Monkey's Audio (Lossless),audio media players
APK,Android application package,Android
APK,Alpine Linux Package,Alpine Linux and derivatives
ARC,ARC (file format),
ART,Gerber format,"Cadence Allegro, EAGLE"
ASAX,ASP.NET global application file,
ASCX,ASP.NET User Control,
ASF,Advanced Streaming Format (Compressed Windows audio/video),Microsoft Corporation
ASHX,ASP.NET handler file,
ASM,Assembler language source,"TASM, MASM, NASM, FASM"
ASPX,Active server page extended file,Microsoft Corporation
ASX,"Advanced Stream Redirector file, redirects to an ASF file (see ASF)",Microsoft Corporation
ATG,Coco/R LL(1) formal grammar,Coco/R
AT3,Atrac 3 Sound/music file,All Sony devices and programs with the Atrac 3+ specification
AVI,Audio Video Interleave,Video for Windows
AVIF,AV1 Image File Format,
AWK,AWK script/program,"awk, GNU Awk, mawk, nawk, MKS AWK, Awka (compiler)"
AX,DirectShow Filter,Microsoft Corporation (Video Players)
AXF,lightweight geodatabase,ESRI ArcPad
B,BASIC language source,
B,bc arbitrary precision calculator language file,Unix bc tool
BAK,backup,various
BAR,Broker Archive. Compressed file containing number of other files for deployment.,IBM App Connect
BAS,BASIC language source,QuickBASIC - GW-BASIC - FreeBASIC - others
BAT,Batch file,"MS-DOS, RT-11, DOS-based command processors"
BDF,"Glyph Bitmap Distribution Format, a format used to store bitmap fonts.",Adobe
BDT,"Behandlungsdatentransfer, an xDT application",Healthcare providers in Germany
BEAM,Executable bytecode file in fat binary format,BEAM (Erlang virtual machine)
BIN,binary file,Every OS
BM3,UIQ3 Phone backup,
BMP,OS/2 or Win graphics format (BitMap Picture),QPeg - CorelDraw - PC Paintbrush - many
BPS,WPS backup file,"Microsoft Word, Microsoft Works"
BZ2,Archive,bzip2
BLEND,Blender project file,Blender
C--,C-- language source,Sphinx C--
C,"C language source
 Note that on case-sensitive platforms like Unix and with the gcc compiler the uppercase .C extension indicates a C++ source file.","Watcom C/C++, Borland C/C++, gcc and other C compilers"
C,Unix file archive,COMPACT
C++,C++ language source,
CPP,C++ language source,
C32,COMBOOT Executable (32-bit),SYSLINUX
CAB,Cabinet archive,"Windows 95 and later, many file archivers"
CBL,COBOL language source,
CBT,COMBOOT Executable (incompatible with DOS COM files),SYSLINUX
CC,C++ language source,
CD,ASP.NET class diagram file,
CDF,Common Data Format,
CDF,Computable Document Format,Mathematica
