extension,description,used_by
AAC,Advanced Audio Coding file,"iOS, Nintendo DSi, Nintendo 3DS, YouTube Music"
ADT,"Abrechnungsdatentransfer, an xDT application",Healthcare providers in Germany
ADX,Document,Archetype Designer
ADZ,Amiga Disk Zipped (See Amiga Disk File),GZip
AGR,ArcView ASCII grid,
AIO,APL programming language file transfer format file,
AMF,Additive Manufacturing File Format,Computer Aided Design Software
AML,AutomationML,AutomationML Group
AMV,Actions Media Video,
ANI,Animation cursors for Win,Win95 - WinNT
ANN,Annotations of old Windows Help file,Windows 3.0 - XP
APK,Android application package,Android
APK,Alpine Linux Package,Alpine Linux and derivatives
ARC,ARC (file format),
ART,Gerber format,"Cadence Allegro, EAGLE"
ASF,Advanced Streaming Format (Compressed Windows audio/video),Microsoft Corporation
ASM,Assembler language source,"TASM, MASM, NASM, FASM"
ASX,"Advanced Stream Redirector file, redirects to an ASF file (see ASF)",Microsoft Corporation
ATG,Coco/R LL(1) formal grammar,Coco/R
AVI,Audio Video Interleave,Video for Windows
AWK,AWK script/program,"awk, GNU Awk, mawk, nawk, MKS AWK, Awka (compiler)"
AXF,lightweight geodatabase,ESRI ArcPad
BAR,Broker Archive. Compressed file containing number of other files for deployment.,IBM App Connect
BAS,BASIC language source,QuickBASIC - GW-BASIC - FreeBASIC - others
BAT,Batch file,"MS-DOS, RT-11, DOS-based command processors"
BDF,"Glyph Bitmap Distribution Format, a format used to store bitmap fonts.",Adobe
BDT,"Behandlungsdatentransfer, an xDT application",Healthcare providers in Germany
BIN,binary file,Every OS
BMP,OS/2 or Win graphics format (BitMap Picture),QPeg - CorelDraw - PC Paintbrush - many
BPS,WPS backup file,"Microsoft Word, Microsoft Works"
CPP,C++ language source,
CAB,Cabinet archive,"Windows 95 and later, many file archivers"
CBL,COBOL language source,
CBT,COMBOOT Executable (incompatible with DOS COM files),SYSLINUX
CDP,Trainz Railroad Simulator Content Dispatcher Pack,Trainz Railroad Simulator
CDR,Vector graphics format (drawinF,CorelDraw
CER,Security certificate,Microsoft Windows
CGM,Computer Graphics Metafile vector graphics,A&L - HG - many
CHM,Compiled Help File,"Microsoft Windows, Help Explorer Viewer"
CHO,ChordPro lead sheet (lyrics and chords),ChordPro and similar tools
CIA,Decrypted Nintendo 3DS ROM cartridge,Nintendo 3DS
CIF,Crystallographic Information File,"RasMol, Jmol"
CMD,Command Prompt batch file,Microsoft Windows NT based operating systems
CMD,executable programs,CP/M-86 operating system
COB,COBOL language source,GnuCOBOL
COE,Coefficient file,Xilinx ISE
COM,DOS program,DOS-
CPC,Compressed image,Cartesian Perceptual Compression
CPL,Control panel file,Windows 3.x
CRT,Security certificate,Microsoft Windows
CSS,Cascading style sheet,
CSO,"Compiled Shader Object, extension of compiled HLSL",High-Level Shading Language
CSV,Comma Separated Values text file format (ASCII),
CUR,Non-animated cursor (extended from ICO),Windows
DAA,Direct Access Archive,
DAF,Data file,Digital Anchor
DAT,AMPL data file,AMPL
DAT,"LDraw (Sub)Part File, 3D Model",LDraw
DAT,Data,RSNetWorx Project
DAT,Data file in special format or ASCII,
DAT,Database file,Clarion (programming language)
DAT,"Norton Utilities disc image data. It saves Boot sector, part of FAT and root directory in image.DAT on same drive.",Norton Utilities
DAT,"Optical disc image (can be ISO9660, but not restricted to)","cdrdao, burnatonce"
DAT,Video CD MPEG stream,
DAT,"Windows registry hive (REG.DAT Windows 3.11; USER.DAT and SYSTEM.DAT Windows 95, 98, and ME; NTUSER.DAT Windows NT/2000/XP/7)",Microsoft Windows
