Extension,Popularity
.a,Medium
.a00,Low
.a01,Low
.a1wish,Low
.a26,Low
.a2d,Low
.a2s,Low
.a3c,Low
.a3x,High
.a4r,Low
.a4w,Low
.a52,Very High
.a64,Low
.a64rpt,Low
.a78,Low
.a83,Low
.aa,High
.aa3,Low
.aab,Low
.aac,Very High
.aacx,Low
.aae,Low
.aaf,Low
.aam,Low
.aan,Low
.aar,Low
.aas,Low
.aaui,Medium
.aax,High
.ab,Low
.abbdoc,Low
.abbu,Low
.abc,Low
.abcdg,Low
.abcdp,Low
.abdata,Low
.abex,Low
.abicollab,Low
.abk,Low
.abkprj,Medium
.abl,Low
.abr,Very High
.abs,Low
.abw,Low
.abz,Low
.ac,Low
.ac$,Medium
.ac3,Very High
.ac4,Low
.aca,Very High
.acb,Very High
.acbl,Very High
.acbm,Low
.acc,Low
.accda,Very High
.accdb,Very High
.accdc,Very High
.accde,Very High
.accdr,Very High
.accdt,Very High
.accdu,Very High
.accdw,Very High
.accessor,Very High
.accft,Very High
.accountfile,Low
.accountpicture-ms,Very High
.acctl,Low
.acd,Low
.acd-bak,Low
.acd-zip,Low
.ace,Very High
.acf,Very High
.acg,High
.ach,Low
.acl,Very High
.aclapp,Low
.aclx,Low
.acm,Low
.aco,Very High
.acp,Very High
.acr,Very High
.acrobatsecuritysettings,Very High
.acs,Very High
.acs2,Low
.acs3,Low
.acs4,Low
.acsm,Medium
.acsrf,Low
.act,Very High
.action,Low
.actions4,Medium
.activitydiagram,Medium
.actm,Medium
.actproj,Low
.acusa,Low
.acv,Very High
.acw,Very High
.ac_,Low
.ad,Medium
.ada,Low
.adb,Low
.adc,Low
.adcf,Low
.adcp,Very High
.add,Low
.addin,Very High
.ade,Very High
.ade_aq,Low
.adf,Low
.adg,Low
.adh,Low
.adi,Low
.adm,Low
.adminarchive,Low
.adml,Low
.adn,Very High
.ado,Very High
.adobebridge,Very High
.adoc,Low
.adp,Very High
.adpcm,Low
.adpp,Very High
.adpr,Low
.adp_aq,Low
.adq,Low
.ads,Low
.adsk,Low
.adt,Very High
.adts,Very High
.adv,Low
.advixeexp,Low
.advixeproj,Low
.advs,Very High
.adx,Low
.adz,Low
.ad_,Low
.aea,Low
.aec,Low
.aecap,Low
.aedtheme,Low
.aegraphic,Low
.aeh,Low
.aep,High
.aepx,High
.aerize-explorer,Low
.aes,Low
.aet,High
.aetx,Low
.aev,Low
.aex,Very High
.aexpk,Low
.afc,Low
.aff,Low
.afi,Low
.afl,Low
.afm,Low
.afphoto,Low
.afs,Low
.afx,Low
.afzplug,Low
.agathachristiedeathnilesavedgame,Low
.agathachristieperilatendhousesavedgame,Low
.agb,Low
.agdb,Low
.age3xsav,Low
.age3ysav,Low
.agf,Low
.agl,Low
.aglib,Low
.agmodule,Low
.agp,Low
.agsc,Low
.agtoolkit,Low
.agx,Low
.ahc,Low
.ahk,Very High
.ahs,Very High
.ahtml,Low
.ahu,Very High
.ahx,Low
.ai,Very High
.aia,Very High
.aif,Very High
".aif,",Low
.aifc,Very High
.aiff,Very High
.aim,Low
.aimppack,Low
.aimppl,Low
.aimppl4,Low
.aip,Very High
.air,Very High
.ais,Low
.ait,Very High
.aix,Low
.akf,Low
.aks,Low
.alac,Very High
.alb,Low
.albw,Low
.alc,Low
.alf,Low
.alg,Low
.algo,Low
.alias,Low
.alic,Low
.all,Low
.alm,Low
.alp,Low
.alpha,Medium
.als,High
.altova_licenses,Low
.alv,Very High
.aly,Low
.alz,Low
.am,Low
.am5,Low
.amb,Low
.amc,Very High
.amd,Low
.ame,Low
.ameproj,Low
.ameprojcc,Medium
.ameprojcs5,Low
.ameprojcs5.5,Low
.ameprojcs6,Low
.amf,Very High
.amf0,Low
.amf3,Low
.ami,Low
.amiglobe,Low
.amio,Low
.amj,Low
.amk,Low
.amkey,Low
.aml,Low
.amm,Low
.amp,Very High
.amplxe,Low
.amplxeproj,Low
.amr,Very High
.ams,Very High
.amsproj,Low
.amt,Low
.amts,Low
.amv,Very High
.amxd,Low
.amz,Low
.an,Low
.analogproject,Low
.ancientsealsavedgame,Low
.androidproj,Medium
.ani,Very High
.anim,Low
.animations,Low
.anki,Low
.ankiaddon,Low
.anm,Low
.ann,Low
.annot,Low
.annots,Low
.ans,Low
.ant,Low
.antmpl,Low
.anx,Low
.anydvd,Low
.anydvdhd,Low
.anydvd_smsk,Low
.an_,Low
.aob,Very High
.aoi,Low
.aom,Medium
.ap,Low
.ap2,Low
.ap3,Low
.apa,Low
.apb,Low
.apc,Very High
.apcdoc,Low
.apd,Medium
.ape,Very High
.apf,Low
.apfx,Low
.api,Very High
.apj,Low
.apk,Very High
.apkg,Low
.apl,Very High
.aplg,Low
.aplibrary,Low
.aplmodel,Low
.apln,Very High
.aplp,Low
.apm,Low
.apmb,Low
.apmx64,Low
.apmx86,Low
.apng,Medium
.app,Medium
.appcontent-ms,Very High
.applescript,Low
.application,Very High
.appref-ms,Very High
.approj,Low
.appup,Low
.appv,Low
.appxmanifest,High
.appxupload,Low
.apr,Low
.aprj,Low
.aps,Low
.apt,Low
.apv,Low
.apw,Low
.apx,Low
.aqdb,Low
.aqt,Low
.aquacadesavedgame,Low
.ar,Low
.arc,Very High
.arcade,Low
.arch,Low
.arch00,Low
.archive,Low
.arcut,Low
.arcutx,Low
.ard,Medium
.aren,Low
.arescol,Medium
.areyousmartermakethegradesavedgame,Low
.arf,Low
.arh,Low
.aria2,Low
.arj,Very High
.ark,Low
.arlnk,Low
.arn,Very High
.arp,Low
.ars,Medium
.art,Medium
.artask,Low
.arti,Low
.artpro2,Low
.artx,Low
.arw,Very High
.arx,High
.as,Very High
.as$,Low
.as2,Low
.as4,Low
.asa,Very High
.asar,Low
.asax,Very High
.asc,Very High
.ascs,Very High
.ascx,Very High
.asd,High
.asdatabase,Low
.ase,Very High
.aseprite,Low
.ases,Low
.asf,Very High
.ash,Low
.ashbak,Medium
.ashcwz,Low
.ashdisc,High
.ashlang,Low
.ashleyjonesandtheheartofegyptsavedgame,Low
.ashprj,Medium
.ashx,Very High
.asice,Low
.asics,Low
.ask,Low
.asl,Very High
.asm,Very High
.asmtree,Low
.asmx,Very High
.asn,Low
.asnd,Low
.asp,Very High
.asphotoalbumtemplate,Low
.aspictureeffect,Low
.asproj,Low
.aspx,Very High
.asr,Low
.ass,Very High
.assecurityinformation,Low
.assistant,Low
.assoc,Low
.ast,Very High
.astropopsavedgame,Low
.asv,Very High
.asw,Low
.aswcs,Low
.asws,Low
.asx,Very High
.asx_aq,Low
.asy,Low
.as_,Low
.atc,Very High
.atc_list,Low
.atd,Low
.atf,Very High
.ath,Low
.atl,Low
.atlantisadventuresavedgame,Low
.atlantisquestsavedgame,Low
.atlg,Low
.atn,Very High
.atom,Low
.atomsvc,Low
.atp5,Low
.atpinf,Low
.atr,Low
.ats,Low
.atv,Low
.atx,Low
.atx5,Low
.atz,Low
.atz5,Low
.au,Very High
.au3,High
.aud,Low
.audiodecoder,Low
.aup,Very High
.aup3,Low
.aur,Low
.aurx,Low
.aus,Low
.automaticdestinations-ms,Low
.aux,Low
.auz,Low
.ava,Very High
.avastconfig,Very High
.avastlic,Very High
.avastsounds,Very High
.avasttheme,Very High
.avastvpn,High
.avatar,Low
.avc,Low
.avchd,Low
.ave,Low
.avgconfig,Low
.avgdi,Low
.avgdx,Low
.avgfv,Low
.avglic,Low
.avgsounds,Low
.avgtheme,Low
.avgvpn,Low
.avi,Very High
.avi-2,Low
.avi-3,Low
.avif,Low
.avi_neo,Low
.avj,Low
.avl,Low
.avm,Low
.avr,Very High
.avrolayout,Low
.avroskin,Low
.avs,Very High
.avsi,Very High
.av_,Low
.aw,Very High
.awa,Low
.awb,Very High
.awd,Low
.awe,Low
.awf,Very High
.awi,Low
.awk,Low
.awlive,Low
.awm,Low
.awp,Low
.aws,High
.awses,Low
.awshortcut,Low
.awt,Low
.awzip,Low
.ax,Medium
.axa,Low
.axd,Very High
.axf,Low
.axp,Very High
.axt,Very High
.axv,Low
.axx,Low
.ax_,Low
.ay,Low
.ayc2,Low
.aye,Low
.azkendsavedgame,Low
.azl,Medium
.azm,Low
.azn,Low
.azs,Medium
.azw,Medium
.azw4,Low
.azz,Low
.azzx,Low
.b1,Low
.b3d,Very High
.b4a,Low
.b4f,Low
.b4p,Low
.b4s,Very High
.b5,Low
.b5i,High
.b5t,Very High
.b64,Very High
.b6i,Medium
.b6t,Very High
.ba$,Low
.babyluvsavedgame,Low
.backup,Low
.bad,Low
.bag,Low
.baggage,Low
.bak,High
.baka,Low
.ballhallasavedgame,Low
.ballistiksavedgame,Low
.balz,Low
.ban,Low
.band,Low
.bap,Low
.bar,Low
.bas,Very High
.basebinary,Low
.baseconfig,Low
.bash,Low
.bashrc,Low
.bash_history,Low
.bash_history-oracle,Low
.bash_history-redmine,Low
.bash_login,Low
.bash_logout,Low
.bash_profile,Low
.bat,Very High
.battle,Low
.bat_6d6f4bc5,Low
.bat_aq,Low
.bau,Very High
.bay,High
.ba_,Low
.bb0,Low
.bb1,Low
.bb2,Low
.bb3,Low
.bb4,Low
.bb5,Low
.bbc,Low
.bbg,Low
.bbh,Low
.bbj,Low
.bbrkpuzzle,Low
.bbrksave,Low
.bbs,Low
.bbsong,Low
.bc,Low
.bc!,Low
.bca,Low
.bcd,Low
.bcf,Medium
.bch,Low
.bci,Medium
.bcm,Low
.bcmr,Low
.bcmx,Low
.bcp,Very High
.bcpf,Low
.bcpkg,Medium
.bcs,Low
.bcss,Medium
.bct,Low
.bctpuri,Medium
.bcuri,Medium
.bcw,Low
.bd,High
.bdb,Medium
.bdc,Medium
.bdcm,High
.bdcr,High
.bde,Low
.bdl,Low
.bdmv,Very High
.bdoc,Low
.bdp,Low
.bdq,Low
.bdsdeploy,Low
.bdsgroup,Low
.bdsproj,Low
.bdtp,Low
.bdv,Low
.bdx,Low
.bef,Low
.bejeweled2deluxesavedgame,Medium
.bejeweled3savedgame,Low
.bejeweledsavedgame,Low
.bejeweledtwistsavedgame,Low
.bex,Low
.bexpk,Low
.bf,Low
.bfc,Very High
.bfg,Low
.bfli,Low
.bfont,Low
.bfr,Very High
.bft,Low
.bg00,Low
.bg9,Low
.bga,Low
.bgd,Low
.bgeo,Low
.bgi,Very High
.bgl,Low
.bgp,Low
.bgw,Low
.bh,Medium
.bh2pcm,Low
.bhf,Low
.bhx,Very High
.bi,Low
.bib,Medium
.bibtex,Low
.bidlist,Low
.bidqueue,Low
.bie,Low
.bif,Medium
.big,Low
.bigcityadventuressfsavedgame,Low
.bigkahunareef2savedgame,Low
.biglybt,Low
.bii,Low
.bik,Very High
.bimx,Low
.bin,Very High
.bin;*.cue,Low
.binarycookies,Low
.binder,Low
.bin_,Low
.bio,Low
.bioexcess,Low
.bip,Low
.birdfont,Low
