IATA,ON_GOOGLE_FLIGHTS
AAC,false
ADT,false
ADX,false
ADZ,true
AGR,true
AIO,false
AMF,false
AML,false
AMV,false
ANI,true
ANN,false
APK,true
ARC,true
ART,true
ASF,true
ASM,true
ASX,false
ATG,false
AVI,false
AWK,false
AXF,true
BAR,true
BAS,true
BAT,false
BDF,false
BDT,false
BIN,false
BMP,false
BPS,true
CAB,true
CBL,true
CBT,true
CDP,true
CDR,true
CER,false
CGM,true
CHM,false
CHO,true
CIA,true
CIF,true
CMD,false
COB,false
COE,false
COM,false
CPC,true
CPL,false
CPP,false
CRT,false
CSO,false
CSS,false
CSV,false
CUR,true
DAA,false
DAF,false
DAT,true
DBA,false
DBC,true
DEB,true
DNG,false
DOC,false
DRC,false
DSC,false
DTD,false
EBD,false
EDE,false
EDF,false
EIS,true
ELC,true
ELF,false
EML,false
EPA,false
ERL,true
ESD,true
ETL,true
FAA,false
FEN,true
FLP,false
FLV,false
FNA,true
FNI,true
FOR,true
FRM,false
GBR,false
GDT,true
GED,false
GGB,false
GIF,false
GMI,false
GRP,false
GTF,true
HAR,false
HOF,true
HTA,true
HTM,false
HUM,false
HXX,false
ICC,false
ICL,false
ICO,true
IMG,false
INI,true
IPT,false
ISO,false
JAR,false
JAV,true
JPE,true
KEY,false
KLC,false
KML,false
KMZ,false
KRA,false
KSH,true
LBR,true
LDB,true
LHA,false
LNK,true
LUA,false
MCF,false
MDF,false
MDG,true
MDI,true
MDL,true
MDS,false
MEX,true
MGF,true
MHT,true
MID,true
MNT,true
MOD,false
MOL,true
MOV,true
MPA,true
MPC,false
MPD,false
MPG,false
MSC,false
MSF,false
MSI,false
MSO,true
MSU,true
MTS,false
MXF,false
MYD,true
MYI,true
NDS,false
NEU,true
NFO,false
NIM,true
NMF,true
NPR,false
NSV,false
OBS,false
ODB,true
ODS,false
OGA,false
OGG,true
OGX,true
ORG,false
OSC,false
OSK,false
OSM,false
OST,true
OTL,false
OTP,true
OTS,false
OTT,false
PAK,false
PAL,false
PAM,false
PAS,true
PAX,false
PBO,true
PCL,true
PCS,false
PDB,true
PDE,false
PDF,false
PDI,false
PDM,true
PDN,false
PDS,true
PEM,true
PFB,true
PFC,false
PGN,false
PHF,true
PHN,false
PHP,false
PHY,false
PIE,true
PIR,true
PIT,true
PKA,true
PLR,false
PLS,true
PMA,true
PNG,false
POM,true
PRP,false
PSD,false
PTF,false
PTX,true
PUB,true
PUP,false
QFX,false
RAL,false
RAM,false
RAP,true
RAR,true
RAS,true
RDP,true
RDS,false
RES,true
RKT,true
ROL,false
RPM,false
RST,true
RUN,true
SAT,true
SAV,true
SBH,true
SBV,false
SBX,false
SCM,true
SCR,true
SDF,true
SDS,false
SEQ,false
SFB,true
SFX,false
SHX,true
SIG,true
SMK,true
SNO,true
SPF,false
SPS,true
SPT,false
SPV,false
SPX,true
SPZ,false
SQL,true
SSC,false
STC,true
STD,true
STI,true
STK,false
STL,true
STM,true
STP,false
STW,true
SUR,false
SVC,true
SVG,true
SWF,true
SWG,false
SXG,false
SXI,false
SXM,true
SXP,true
SXW,false
TAK,true
TAR,false
TAZ,true
TBZ,true
TER,true
TGA,false
TGT,true
TGZ,true
THM,false
TIF,true
TLB,false
TLZ,false
TMP,true
TSV,true
TTC,false
UOS,false
UST,false
VBS,false
VDA,false
VDI,false
VRB,true
VST,true
VTF,false
WAD,false
WAV,false
WMA,false
WOS,false
XAR,false
XLS,true
XML,false
XPL,true
XSD,false
YML,false
